id,itemId,activityId,createdAt,updatedAt,updatedByAccountId,createdByAccountId,write_id
defaultItemWeaponRecipeId,defaultWeaponItemId,,2024-04-11 07:47:29.523,2024-04-11 07:47:29.523,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,ead91a7d-2f4f-418a-b1f4-1e1274413b4f
ws9cekrnt481w3cleffw20j9,y1aa7tiq024pkrstrryekj08,,2025-05-20 10:09:50.844,2025-05-20 10:09:50.844,,,1bdb733b-1be2-407c-a4b6-aa058b0f37fc
c9s19nunviudf3bk5253fo4t,k9jd6hbs1n76ozeupht3d7n1,,2025-05-20 10:23:55.702,2025-05-20 10:23:55.702,,,0e82ac38-4f9a-4621-b682-9f47c17d8e25
ayvq5euigzqedlgumdcwg9y9,xfb2oey0fedo2rxovqrdsx49,,2025-05-20 10:24:35.028,2025-05-20 10:24:35.028,,,f6e199c7-4d7b-42c1-a865-202bfc1dafcb
jmaz2e1ntsvcqyw6r8rkoq04,vk1ps62ymxe8dm63l0m53cla,,2025-05-20 10:25:00.657,2025-05-20 10:25:00.657,,,d2530566-0d1d-41e3-86de-bb969663aca3
lf2zqsyp12ojprimpg0hpjdp,mm17jw5kykup5dq4imvkhmpe,,2025-05-20 10:26:01.302,2025-05-20 10:26:01.302,,,335c191b-20ba-48f4-a238-3e371c96a9d8
ut3hy0cfyxcqx6zbdxw4x6bb,hjcvedqbrzvj495m8b249md1,,2025-05-20 10:28:13.449,2025-05-20 10:28:13.449,,,bc43aad0-275a-47be-9c53-2d1dfa0cb147
u7c70ig253u6njwsgxrickzd,uexlb0x01symqc3oiytuiq74,,2025-06-30 06:20:54.55,2025-06-30 06:20:54.55,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,d3d3fb72-3d99-4c9c-9348-ce86a684da48
